ms7372,====================== NEW FLIGHT LOG INITIATED ==============================
ms7372,phase, T-clk, alt, alt-max, speed, speed-max, temp, temp max, bLaunch, bApogee, temp-raw, pressure, alt-raw, ADXL, adxl.x, adxl.y, adxl.z, adxl.avgZ, adxl.linZ, adxl.maxZ, adxl.minZ, adxl.vel, adxl.burnoutArm,adxl.burnout, adxl.apogee, LSM6D-A, lsm.x, lsm.y, lsm.z, lsm.avgZ, lsm.linZ, lsm.maxZ, lsm.minZ, lsm.vel, lsm.burnoutArm,lsm.burnout, lsm.apogee, LSM-Gyro,lsm.gX, lsm.gY, lsm.gZ, lsm.yaw, lsm.pitch, lsm.roll, lsm.tilt, lsm.tiltMax, EVENTS, voltage, launch, burnout, apogee, fore, aft, sustainer, pyro-sep, pyro-sus, pyro-main, pyro-drogue, contMain, contDrogue, contSep, contSust, StagArmed, CPU temp, CPU tempMax, ERRORS, SampleLoop, LoggingLoop, ADXL, LSM, MS56, GPS, Flash, voltage, CPUtemp, I2C,crash
ms11699,STARTUP,0.000,0,0,-1,0,96,96,0,0,36.08403015,943.71710208,595.6425,ADXL:,-756,-54,-256,39,-243,446,-243,0,0,0,0,LSM-A:,980,-29,38,-17,-19,0,-26,0,0,0,0,LSM-G,-0.0007,-0.0002,-0.0004,-2,-1,-0,2.2,0.0,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,117,117,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
ms11965,Main Continuity Closed
ms11965,Drogue Continuity Closed
ms16966,STARTUP,0.000,0,0,0,1,97,97,0,0,36.17677308,943.72247312,595.5949,ADXL:,-1052,-54,-207,42,52,693,-440,0,0,0,0,LSM-A:,978,-28,35,-17,-21,0,-29,0,0,0,0,LSM-G,-0.0009,-0.0002,-0.0003,-2,-1,-0,2.1,2.4,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,119,119,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
ms22231,STARTUP,0.000,0,0,0,1,97,97,0,0,36.24040604,943.66510008,596.1022,ADXL:,-1003,-54,-256,16,-37,553,-382,0,0,0,0,LSM-A:,978,-31,38,-17,-21,0,-29,0,0,0,0,LSM-G,-0.0011,-0.0002,-0.0004,-2,-2,-0,2.1,2.4,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,119,120,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:48:17.505,STARTUP,0.000,0,0,0,1,97,97,0,0,36.30343246,943.70977784,595.7059,ADXL:,-1003,-54,-404,-1,-37,553,-481,0,0,0,0,LSM-A:,981,-33,38,-16,-18,0,-29,0,0,0,0,LSM-G,0.0001,-0.0003,-0.0000,-2,-1,-0,2.0,2.4,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,120,120,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:48:22.777,STARTUP,0.000,0,0,0,1,97,97,0,0,36.36388780,943.64935304,596.2396,ADXL:,-1101,-54,-305,3,60,405,-432,0,0,0,0,LSM-A:,978,-41,38,-4,-5,9,-29,0,0,0,0,LSM-G,-0.0004,0.0000,-0.0000,-1,-2,-0,2.0,2.4,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,120,120,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:48:28.052,STARTUP,0.000,0,0,0,1,97,97,0,0,36.43455888,943.70727536,595.7297,ADXL:,-1052,-54,-256,-2,11,504,-481,0,0,0,0,LSM-A:,983,-28,38,-1,-0,10,-29,0,0,0,0,LSM-G,0.0001,-0.0001,0.0001,-2,-1,-0,2.2,2.4,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,121,121,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:48:33.344,STARTUP,0.000,0,0,0,1,97,97,0,0,36.50198744,943.66241456,596.1234,ADXL:,-953,44,-354,-0,-85,654,-479,0,0,0,0,LSM-A:,985,-30,35,-1,1,10,-29,0,0,0,0,LSM-G,0.0011,0.0002,0.0004,-1,-1,0,1.9,2.4,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,121,122,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
05/20/2023-13:48:38.615,STARTUP,0.000,0,0,0,1,97,97,0,0,36.57448960,943.69018552,595.8803,ADXL:,-1003,-103,-404,-0,-35,654,-479,0,0,0,0,LSM-A:,983,-28,32,-1,-0,10,-29,0,0,0,0,LSM-G,0.0008,0.0002,0.0004,-1,-1,0,1.8,2.4,EVENTS:,100,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,122,122,ERRORS:,2,2,2,2,2,2,2,2,2,2,2,
